Part_id	Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numfixations	numsaccades	numsamples	numsegments	relpathanglesrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration
EA-109	EA-109_allsc	0.000922823621928	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0701430464997	0.000639831309884	1.42346509025	248503	3149.09351977	7201.0	-1	-1	-1	1.59614329284	1.47951250658	-1	296.194968553	112.456499899	-1	-1	1.28751083551	479.660356474	1015.89130435	0.462509685868	-1	-1	-1	0.0580922748558	159	138	1637	4	0.000782341203777	-1	-1	1.18014308778	-1	340.667930633	98.5951654043	-1	-1	1.03902932122	550.743549612	1053.29872295	0.240612462233	229.32443852	47095	17430.7574843	194.414136162	66193.1291935	140193.0
EA-109	Reading	0.00102441749602	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0888608974799	0.000706052346393	0.369916794571	121804	3149.09351977	3900.0	-1	-1	-1	1.02914236616	1.46797821983	-1	266.23255814	127.336620666	-1	-1	1.34272323839	469.413141879	859.652777778	0.492106774517	-1	-1	-1	0.112072755865	86	72	825	1	0.000925985616442	-1	-1	1.23388211424	-1	250.060495006	113.587271261	-1	-1	1.109648657	604.606249371	863.621577921	0.233752686028	124.778148686	22896	10823.6127566	112.788752025	33797.7462153	61895.0
EA-109	Memory	0.000482341649682	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0322500741332	0.000326503958861	0.114424264329	49004	1809.40617073	7201.0	-1	-1	-1	0.6045675053	1.5757780134	-1	237.4375	105.358842188	-1	-1	0.75277353389	776.188477505	2371.5	0.364994082591	-1	-1	-1	0.131987387854	16	14	204	1	0.000215060596573	-1	-1	1.18698681807	-1	202.743834678	95.9020019125	-1	-1	0.705475151066	445.784424686	1738.56420646	0.12727269052	23.636670201	3799	1580.38263282	10.5388294745	10866.6386851	33201.0
EA-109	CookieTheft	0.00111991246664	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0731397433749	0.000772833361671	0.265630413193	64697	2245.55361934	3000.0	-1	-1	-1	1.59614329284	1.47867299703	-1	230.02	96.5698362679	-1	-1	1.40764134054	457.55314689	941.239130435	0.473310975638	-1	-1	-1	0.0580922748558	50	46	502	1	0.00104435730167	-1	-1	1.13235850756	-1	170.529845374	68.5313294286	-1	-1	0.9887274348	489.416749046	800.666422003	0.26887111856	72.4549768545	11501	4731.92197713	67.5667843459	21047.444757	43297.0
EA-109	PupilCalib	0.000650457207183	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0226834988248	0.000538544391445	4.94388888889	12998	182.557864921	500.0	-1	-1	-1	0.456394662302	1.40910712983	-1	1271.28571429	49.1400196208	-1	-1	0.703954063353	80.216589359	300.0	0.252071141501	-1	-1	-1	0.102968138641	7	6	106	1	0.000270793223324	-1	-1	1.01410108133	-1	813.739252727	24.7772106177	-1	-1	0.408243253661	63.3848930101	126.491106407	0.155618877369	8.45464277896	8899	294.840117725	3.51977031677	481.299536154	1800.0
EA-123	EA-123_allsc	0.000248901886328	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0304958019981	0.000217116438269	-0.407496632098	156598	2715.97128059	4800.0	-1	-1	-1	1.06122871465	1.36591791984	-1	403.147058824	159.252720043	-1	-1	1.01754320181	745.773404599	1343.8	0.567357003897	-1	-1	-1	0.129455343835	34	25	579	4	0.000169166973082	-1	-1	1.2557086074	-1	966.432525427	148.049052305	-1	-1	1.12668242727	691.21777077	1232.09246136	0.204070787066	38.9775375953	13707	4775.5816013	26.4912096507	18642.335115	33593.0
EA-123	Reading	0.000433181452199	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0567134077694	0.000339648275342	0.223488657951	52996	2715.97128059	4800.0	-1	-1	-1	1.06122871465	1.35040495534	-1	222.222222222	176.799044597	-1	-1	1.05355591393	679.859659469	1118.625	0.608595573044	-1	-1	-1	0.28551090535	18	16	284	1	0.00031807862146	-1	-1	1.2596940563	-1	139.560889328	161.08706169	-1	-1	1.20053392896	735.376411843	1233.44103359	0.21291081202	22.9568842407	4000	3005.58375815	16.8568946229	10877.7545515	17898.0
EA-123	Memory	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	2.55767558443e-05	-1.0	39098	-1	-1	-1	-1	-1	-1	-1	-1	1808.0	-1	-1	-1	-1	0	0	0	-1	-1	-1	inf	1	0	46	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	0	0	-1	1808	-1	-1	-1	-1
EA-123	CookieTheft	0.000365486012951	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0359387872299	0.000283941102503	0.146524813659	49306	2219.68826909	4299.0	-1	-1	-1	0.749833180274	1.3862041042	-1	164.285714286	136.307526397	-1	-1	0.969526252318	862.953395941	1744.11111111	0.494043992079	-1	-1	-1	0.129455343835	14	9	242	1	0.000235961445419	-1	-1	1.30155715333	-1	100.820807202	131.774541427	-1	-1	1.07053576164	628.688799264	1191.58984601	0.17461706904	18.0206533545	2300	1771.99784316	11.6343150278	7766.58056347	15697.0
EA-123	PupilCalib	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	6.57981313331e-05	-1.0	15198	-1	-1	-1	-1	-1	-1	-1	-1	5599.0	-1	-1	-1	-1	0	0	0	-1	-1	-1	inf	1	0	7	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	0	0	-1	5599	-1	-1	-1	-1
